tract,hhwrks0_,hhwrks1_,hhwrks2_,hhwrks3p_,ownkidsyes_,rentkidsyes_,ownkidsno_,rentkidsno_,county_fips,taz,weight
06001400100,0,0,0,0,0,0,0,0,06001,1005,1.0
06001400200,0,0,0,0,0,0,0,0,06001,999,1.0
06001400300,0,0,0,0,0,0,0,0,06001,998,1.0
06001400400,0,0,0,0,0,0,0,0,06001,1000,1.0
06001400500,0,0,0,0,0,0,0,0,06001,1001,1.0
06001400600,0,0,0,0,0,0,0,0,06001,997,1.0
06001400700,0,0,0,0,0,0,0,0,06001,996,1.0
06001400800,0,0,0,0,0,0,0,0,06001,993,1.0
06001400900,0,0,0,0,0,0,0,0,06001,992,1.0
06001401000,0,0,0,0,0,0,0,0,06001,977,1.0
06001401100,0,0,0,0,0,0,0,0,06001,976,1.0
06001401200,0,0,0,0,0,0,0,0,06001,975,1.0
06001401300,0,0,0,0,0,0,0,0,06001,979,1.0
06001401400,0,0,0,0,0,0,0,0,06001,978,1.0
06001401500,0,0,0,0,0,0,0,0,06001,990,1.0
06001401600,0,0,0,0,0,0,0,0,06001,989,1.0
06001401700,0,0,0,0,0,0,0,0,06001,988,1.0
06001401800,0,0,0,0,0,0,0,0,06001,987,1.0
06001402200,0,0,0,0,0,0,0,0,06001,986,1.0
06001402400,0,0,0,0,0,0,0,0,06001,983,1.0
06001402500,0,0,0,0,0,0,0,0,06001,982,1.0
06001402600,0,0,0,0,0,0,0,0,06001,981,1.0
06001402700,0,0,0,0,0,0,0,0,06001,980,1.0
06001402801,0,0,0,0,0,0,0,0,06001,970,1.0
06001402802,0,0,0,0,0,0,0,0,06001,,
06001402900,0,0,0,0,0,0,0,0,06001,971,1.0
06001403000,0,0,0,0,0,0,0,0,06001,968,1.0
06001403100,0,0,0,0,0,0,0,0,06001,969,1.0
06001403301,0,0,0,0,0,0,0,0,06001,,
06001403302,0,0,0,0,0,0,0,0,06001,946,1.0
06001403401,0,0,0,0,0,0,0,0,06001,945,1.0
06001403402,0,0,0,0,0,0,0,0,06001,,
06001403501,0,0,0,0,0,0,0,0,06001,972,1.0
06001403502,0,0,0,0,0,0,0,0,06001,,
06001403600,0,0,0,0,0,0,0,0,06001,941,1.0
06001403701,0,0,0,0,0,0,0,0,06001,942,1.0
06001403702,0,0,0,0,0,0,0,0,06001,,
06001403800,0,0,0,0,0,0,0,0,06001,939,1.0
06001403900,0,0,0,0,0,0,0,0,06001,940,1.0
06001404000,0,0,0,0,0,0,0,0,06001,973,1.0
06001404101,0,0,0,0,0,0,0,0,06001,974,1.0
06001404102,0,0,0,0,0,0,0,0,06001,,
06001404200,0,0,0,0,0,0,0,0,06001,916,1.0
06001404300,0,0,0,0,0,0,0,0,06001,915,1.0
