weighted_hhwrks0,weighted_hhwrks1,weighted_hhwrks2,weighted_hhwrks3p,weighted_ownkidsyes,weighted_rentkidsyes,weighted_ownkidsno,weighted_rentkidsno,taz,county_fips,TAZ1454
63.03848372705359,91.6923399666234,38.13927071887568,3.359417628087495,3.557030429739701,24.30637460322129,11.461542495827924,156.90456451185125,1,06075,1
852.0,769.0,534.0,248.0,159.0,196.0,81.0,1967.0,10,06075,10
220.0,553.0,767.0,214.0,60.0,225.0,236.0,1233.0,100,06075,100
366.0,602.0,652.0,120.0,256.0,282.0,517.0,685.0,1000,06001,1000
248.0,690.0,552.0,153.0,206.0,84.0,604.0,749.0,1001,06001,1001
182.0,252.0,315.0,96.0,80.0,72.0,236.0,457.0,1002,06001,1002
130.0,317.0,200.0,62.0,66.0,49.0,163.0,431.0,1003,06001,1003
446.0,514.0,389.0,28.0,161.0,39.0,838.0,339.0,1004,06001,1004
360.0,486.0,373.0,55.0,323.0,30.0,813.0,108.0,1005,06001,1005
378.0,487.0,311.0,66.0,173.0,121.0,311.0,637.0,1006,06001,1006
370.0,387.0,171.0,77.0,19.0,0.0,153.0,833.0,1007,06001,1007
435.0,705.0,114.0,91.0,0.0,0.0,26.0,1319.0,1008,06001,1008
741.0,772.0,533.0,228.0,23.0,136.0,361.0,1754.0,1009,06001,1009
280.0,548.0,533.0,148.0,35.0,201.0,83.0,1190.0,101,06075,101
250.0,537.0,328.0,69.0,101.0,74.0,455.0,554.0,1010,06001,1010
422.0,492.0,463.0,67.0,139.0,149.0,332.0,824.0,1011,06001,1011
628.0,567.0,624.0,308.0,294.0,191.0,452.0,1190.0,1012,06001,1012
512.0,464.0,410.0,41.0,298.0,116.0,585.0,428.0,1013,06001,1013
157.0,522.0,326.0,36.0,30.0,140.0,191.0,680.0,1014,06001,1014
260.0,406.0,383.0,74.0,122.0,224.0,219.0,558.0,1015,06001,1015
746.0,815.0,379.0,71.0,194.0,347.0,485.0,985.0,1016,06001,1016
386.0,932.0,371.0,290.0,118.0,257.0,616.0,988.0,1017,06001,1017
319.0,814.0,251.0,29.0,0.0,236.0,12.0,1165.0,1018,06001,1018
11.0,3.0,3.0,0.0,0.0,0.0,17.0,0.0,1019,06001,1019
99.0,471.0,666.0,93.0,114.0,71.0,400.0,744.0,102,06075,102
376.0,881.0,294.0,105.0,57.0,61.0,347.0,1191.0,1020,06001,1020
538.0,789.0,423.0,186.0,31.0,74.0,258.0,1573.0,1021,06001,1021
551.0,640.0,394.0,67.0,200.0,85.0,467.0,900.0,1022,06001,1022
235.0,774.0,383.0,39.0,274.0,91.0,428.0,638.0,1023,06001,1023
244.0,420.0,533.0,82.0,262.0,131.0,381.0,505.0,1024,06001,1024
333.0,610.0,640.0,117.0,390.0,156.0,594.0,560.0,1025,06001,1025
241.0,353.0,256.0,68.0,148.0,78.0,469.0,223.0,1026,06001,1026
555.0,758.0,339.0,76.0,187.0,87.0,537.0,917.0,1027,06001,1027
454.0,547.0,467.0,36.0,228.0,98.0,970.0,208.0,1028,06001,1028
341.0,647.0,518.0,60.0,298.0,33.0,966.0,269.0,1029,06001,1029
314.0,524.0,424.0,192.0,70.0,54.0,458.0,872.0,103,06075,103
237.0,322.0,247.0,39.0,172.0,36.0,609.0,28.0,1030,06001,1030
389.0,395.0,578.0,67.0,357.0,34.0,985.0,53.0,1031,06001,1031
224.0,147.0,208.0,58.0,129.0,4.0,449.0,55.0,1032,06001,1032
501.0,532.0,607.0,89.0,339.0,58.0,982.0,350.0,1033,06001,1033
196.0,505.0,480.0,80.0,396.0,140.0,631.0,94.0,1034,06001,1034
215.0,285.0,462.0,21.0,308.0,137.0,431.0,107.0,1035,06001,1035
235.0,525.0,434.0,129.0,204.0,331.0,305.0,483.0,1036,06001,1036
179.0,415.0,312.0,47.0,184.0,184.0,301.0,284.0,1037,06001,1037
182.0,266.0,218.0,20.0,0.0,251.0,0.0,435.0,1038,06001,1038
176.0,417.0,300.0,75.0,202.0,201.0,146.0,419.0,1039,06001,1039
323.0,1114.0,527.0,166.0,46.0,56.0,734.0,1294.0,104,06075,104
84.0,252.0,227.0,69.0,41.0,179.0,59.0,353.0,1040,06013,1040
229.0,397.0,269.0,120.0,45.0,158.0,282.0,530.0,1041,06013,1041
190.0,270.0,260.0,31.0,112.0,26.0,485.0,128.0,1042,06013,1042
276.0,447.0,308.0,21.0,245.0,90.0,604.0,113.0,1043,06013,1043
316.0,251.0,388.0,50.0,243.0,34.0,637.0,91.0,1044,06013,1044
387.0,406.0,345.0,70.0,175.0,61.0,791.0,181.0,1045,06013,1045
243.0,333.0,299.0,42.0,210.0,49.0,593.0,65.0,1046,06013,1046
319.0,381.0,345.0,38.0,128.0,262.0,388.0,305.0,1047,06013,1047
226.0,560.0,312.0,21.0,103.0,256.0,401.0,359.0,1048,06013,1048
356.0,875.0,802.0,30.0,320.0,396.0,807.0,540.0,1049,06013,1049
438.0,714.0,906.0,53.0,38.0,281.0,294.0,1498.0,105,06075,105
533.0,1408.0,698.0,230.0,369.0,753.0,716.0,1031.0,1050,06013,1050
527.0,395.0,498.0,122.0,110.0,206.0,334.0,892.0,1051,06013,1051
153.0,142.0,192.0,17.0,145.0,35.0,247.0,77.0,1052,06013,1052
376.0,571.0,677.0,21.0,403.0,75.0,1025.0,142.0,1053,06013,1053
159.0,407.0,412.0,79.0,302.0,42.0,544.0,169.0,1054,06013,1054
329.0,748.0,464.0,514.0,319.0,255.0,1073.0,408.0,1055,06013,1055
458.0,587.0,575.0,104.0,276.0,356.0,653.0,439.0,1056,06013,1056
169.0,413.0,411.0,209.0,225.0,502.0,230.0,245.0,1057,06013,1057
573.0,679.0,552.0,253.0,244.0,620.0,468.0,725.0,1058,06013,1058
314.0,776.0,375.0,64.0,62.0,75.0,748.0,644.0,1059,06013,1059
218.0,657.0,684.0,66.0,126.0,49.0,214.0,1236.0,106,06075,106
365.0,772.0,396.0,368.0,383.0,702.0,382.0,434.0,1060,06013,1060
717.0,875.0,564.0,169.0,435.0,552.0,588.0,750.0,1061,06013,1061
461.0,599.0,564.0,135.0,165.0,101.0,931.0,562.0,1062,06013,1062
237.0,435.0,522.0,376.0,279.0,546.0,280.0,465.0,1063,06013,1063
241.0,429.0,555.0,101.0,284.0,396.0,432.0,214.0,1064,06013,1064
306.0,921.0,851.0,338.0,424.0,370.0,1071.0,551.0,1065,06013,1065
541.0,1096.0,518.0,252.0,178.0,760.0,523.0,946.0,1066,06013,1066
184.0,582.0,352.0,177.0,313.0,377.0,274.0,331.0,1067,06013,1067
217.0,573.0,376.0,236.0,390.0,356.0,431.0,225.0,1068,06013,1068
380.0,652.0,433.0,167.0,327.0,481.0,586.0,238.0,1069,06013,1069
46.0,306.0,314.0,95.0,7.0,137.0,155.0,462.0,107,06075,107
173.0,479.0,219.0,308.0,214.0,334.0,430.0,201.0,1070,06013,1070
430.0,496.0,485.0,297.0,367.0,546.0,435.0,360.0,1071,06013,1071
218.0,744.0,493.0,264.0,323.0,335.0,439.0,622.0,1072,06013,1072
619.0,701.0,463.0,190.0,144.0,441.0,755.0,633.0,1073,06013,1073
587.0,1030.0,814.0,258.0,580.0,150.0,1514.0,445.0,1074,06013,1074
119.0,383.0,445.0,73.0,86.0,268.0,409.0,257.0,1075,06013,1075
247.0,365.0,533.0,64.0,163.0,55.0,793.0,198.0,1076,06013,1076
378.0,548.0,659.0,164.0,275.0,284.0,862.0,328.0,1077,06013,1077
318.0,590.0,530.0,251.0,227.0,426.0,631.0,405.0,1078,06013,1078
544.0,479.0,327.0,198.0,272.0,54.0,1113.0,109.0,1079,06013,1079
225.0,258.0,240.0,0.0,6.0,28.0,205.0,484.0,108,06075,108
464.0,439.0,716.0,228.0,513.0,258.0,723.0,353.0,1080,06013,1080
352.0,474.0,351.0,340.0,227.0,373.0,818.0,99.0,1081,06013,1081
378.0,620.0,618.0,184.0,260.0,317.0,903.0,320.0,1082,06013,1082
346.0,768.0,683.0,110.0,312.0,169.0,867.0,559.0,1083,06013,1083
676.0,659.0,837.0,213.0,450.0,100.0,1423.0,412.0,1084,06013,1084
327.0,452.0,439.0,316.0,346.0,120.0,928.0,140.0,1085,06013,1085
