GEOID10,MAZ_NODE,TAZ_NODE
060014001001000,333453,301054
060014001001001,333453,301054
060014001001002,333453,301054
060014001001003,333453,301054
060014001001004,333453,301054
060014001001005,333453,301054
060014001001006,333453,301054
060014001001007,333453,301054
060014001001008,333453,301054
060014001001009,333453,301054
060014001001010,333453,301054
060014001001011,333453,301054
060014001001012,333453,301054
060014001001013,333453,301054
060014001001014,333453,301054
060014001001015,333453,301054
060014001001016,333453,301054
060014001001017,332624,301054
060014001001018,333453,301054
060014001001019,333453,301054
060014001001020,330244,301054
060014001001021,333453,301054
060014001001022,333453,301054
060014001001023,333940,301054
060014001001024,333940,301054
060014001001025,333940,301054
060014001001026,316203,300125
060014001001027,313627,301054
060014001001028,313627,301054
060014001001029,313627,301054
060014001001030,333453,301054
060014001001031,316202,301054
060014001001032,333756,300125
060014001001033,333756,300125
060014001001034,333756,300125
060014001001035,333756,300125
060014001001036,317388,300125
060014001001037,317388,300125
060014001001038,310948,301054
060014001001039,310948,301054
060014001001040,310948,301054
060014001001041,310948,301054
060014001001042,316203,300125
060014001001043,329851,300125
060014001001044,333542,300125
060014001001045,329851,300125
060014001001046,317388,300125
060014001001047,310948,301054
060014001001048,310948,301054
060014001001049,318108,300125
060014001001050,318108,300125
060014001001051,330637,301054
060014001001052,332786,300125
060014001001053,332786,300125
060014001001054,332899,300125
060014001001055,325884,300125
060014001001056,325884,300125
060014001001057,333542,300125
060014001001058,316208,300125
060014001001059,316208,300125
060014001001060,316208,300125
060014001001061,320099,300125
060014001001062,320096,300125
060014001001063,332786,300125
060014001001064,318108,300125
060014001001065,320096,300125
060014001001066,325229,300125
060014001001067,325229,300125
060014001001068,315991,300125
060014001001069,310247,301054
060014001001070,310247,301054
060014001001071,310948,301054
060014001001072,333453,301054
060014001001073,333453,301054
060014001001074,320099,300125
060014001001075,332624,301054
060014001001076,332624,301054
060014002001000,310262,300114
060014002001001,325230,300114
060014002001002,325015,300114
060014002001003,325228,300114
060014002001004,325228,300114
060014002001005,325228,300114
060014002001006,325228,300114
060014002001007,331566,300114
060014002001008,315989,301088
060014002001009,331565,301088
060014002001010,331565,301088
060014002001011,331566,300114
060014002001012,331566,300114
060014002001013,324350,300114
060014002001014,310262,300114
060014002001015,324350,300114
060014002001016,324350,300114
060014002001017,324350,300114
060014002001018,313833,301088
060014002001019,323847,301088
060014002001020,315989,301088
060014002001021,313833,301088
060014002001022,313833,301088
060014002002000,315624,300569
060014002002001,315624,300569
060014002002002,315624,300569
060014002002003,315624,300569
060014002002004,315624,300569
060014002002005,315624,300569
060014002002006,332427,300569
060014002002007,333937,300569
060014002002008,319414,300569
060014002002009,315624,300569
060014002002010,315624,300569
060014002002011,315624,300569
060014002002012,315624,300569
060014002002013,324318,300569
060014002002014,324318,300569
060014002002015,330911,300569
060014002002016,330911,300569
060014002002017,315624,300569
060014003001000,333091,300113
060014003001001,316200,300113
060014003001002,310263,300113
060014003001003,310263,300113
060014003001004,310263,300113
060014003001005,310263,300113
060014003001006,310263,300113
060014003001007,310263,300113
060014003001008,316200,300113
060014003001009,310264,300113
060014003001010,316885,300113
060014003001011,310263,300113
060014003001012,310263,300113
060014003001013,316885,300113
060014003001014,316885,300113
060014003001015,316885,300113
060014003001016,319395,300113
060014003001017,319395,300113
060014003002000,310266,301091
060014003002001,315993,301091
060014003002002,329702,301090
060014003002003,329702,301090
060014003002004,319391,301090
060014003002005,318678,301090
060014003002006,318678,301090
060014003002007,325210,301090
060014003002008,325209,301090
060014003002009,332426,300115
060014003002010,322350,300115
060014003002011,333931,300115
060014003002012,333931,300115
060014003002013,333931,300115
060014003002014,313990,300115
060014003002015,313990,300115
060014003002016,313990,300115
060014003002017,319391,301090
060014003002018,310265,301091
060014003002019,329702,301090
060014003002020,315559,301090
060014003002021,319391,301090
060014003002022,333933,300115
060014003002023,318678,301090
060014003002024,315559,301090
060014003003000,330912,300115
060014003003001,324319,300115
060014003003002,330913,300115
060014003003003,330912,300115
060014003003004,330912,300115
060014003003005,324319,300115
060014003003006,313991,300115
060014003003007,330913,300115
060014003003008,330913,300115
060014003003009,330913,300115
060014003003010,330913,300115
060014003003011,330913,300115
060014003003012,330912,300115
060014003003013,330912,300115
060014003003014,318127,300115
060014003003015,318127,300115
060014003003016,318127,300115
060014003003017,318127,300115
060014003003018,311972,300115
060014003003019,311972,300115
060014003003020,311972,300115
060014003003021,311972,300115
060014003003022,330913,300115
060014003003023,318127,300115
060014003003024,318127,300115
060014003003025,318127,300115
060014003003026,318127,300115
060014003003027,323575,300115
060014003003028,311972,300115
060014003003029,318127,300115
060014003003030,311972,300115
060014003004000,314618,301089
060014003004001,330915,301089
060014003004002,330915,301089
060014003004003,316179,301089
060014003004004,318677,301089
060014003004005,322352,301089
060014003004006,330914,300115
060014003004007,322353,301090
060014003004008,325211,301090
060014003004009,332430,301090
060014003004010,324322,301089
060014003004011,332431,301090
060014003004012,324323,301090
060014003004013,316178,301090
060014003004014,332429,301090
060014003004015,324321,301090
060014003004016,332428,300115
060014004001000,317912,300568
060014004001001,317912,300568
060014004001002,331592,300568
060014004001003,316494,300568
060014004001004,316494,300568
060014004001005,331105,300568
060014004001006,331592,300568
060014004001007,317912,300568
060014004001008,316495,300568
060014004001009,333928,300568
060014004001010,317913,300568
060014004001011,317912,300568
060014004001012,317914,300568
060014004001013,332422,300568
060014004001014,333935,300568
060014004001015,324531,300568
060014004002000,314446,300466
060014004002001,314446,300466
060014004002002,314631,300466
060014004002003,314631,300466
060014004002004,314631,300466
060014004002005,314631,300466
060014004002006,314446,300466
060014004002007,330910,300466
060014004002008,313988,300466
060014004002009,313988,300466
