MAZ,TAZ,COUNTY,county_name,COUNTYFP10,TRACTCE10,PUMA10
10001,56,1,San Francisco,075,021300,07504
10002,56,1,San Francisco,075,021300,07504
10003,10,1,San Francisco,075,020500,07504
10004,53,1,San Francisco,075,021200,07504
10005,48,1,San Francisco,075,021100,07504
10006,48,1,San Francisco,075,021100,07504
10007,65,1,San Francisco,075,021600,07504
10009,65,1,San Francisco,075,021600,07504
10012,40,1,San Francisco,075,021700,07506
10017,583,1,San Francisco,075,980900,07507
10018,574,1,San Francisco,075,061400,07503
10021,618,1,San Francisco,075,980900,07507
10022,116,1,San Francisco,075,023200,07507
10023,125,1,San Francisco,075,025100,07504
10024,622,1,San Francisco,075,023102,07507
10025,623,1,San Francisco,075,023102,07507
10030,250,1,San Francisco,075,045100,07501
10038,363,1,San Francisco,075,012501,07503
10039,330,1,San Francisco,075,026404,07507
10044,635,1,San Francisco,075,031302,07506
10045,635,1,San Francisco,075,031302,07506
10047,199,1,San Francisco,075,026100,07506
10048,636,1,San Francisco,075,026100,07506
10049,100,1,San Francisco,075,023001,07507
10052,453,1,San Francisco,075,031201,07506
10053,553,1,San Francisco,075,061200,07507
10054,553,1,San Francisco,075,061200,07507
10055,39,1,San Francisco,075,061500,07503
10056,288,1,San Francisco,075,060700,07503
10060,84,1,San Francisco,075,022600,07503
10062,117,1,San Francisco,075,023200,07507
10063,188,1,San Francisco,075,025800,07507
10064,294,1,San Francisco,075,061000,07507
10065,294,1,San Francisco,075,061000,07507
10071,438,1,San Francisco,075,013200,07502
10072,438,1,San Francisco,075,013200,07502
10073,461,1,San Francisco,075,013400,07502
10074,471,1,San Francisco,075,015300,07501
10075,471,1,San Francisco,075,015300,07501
10076,471,1,San Francisco,075,015300,07501
10077,434,1,San Francisco,075,013000,07502
10078,478,1,San Francisco,075,015500,07501
10079,398,1,San Francisco,075,011200,07502
10084,366,1,San Francisco,075,012602,07502
10086,404,1,San Francisco,075,011700,07503
10087,401,1,San Francisco,075,010500,07502
10094,420,1,San Francisco,075,020401,07505
10098,490,1,San Francisco,075,032601,07505
10099,489,1,San Francisco,075,032601,07505
10101,281,1,San Francisco,075,030302,07505
10102,491,1,San Francisco,075,032601,07505
10104,6,1,San Francisco,075,020300,07504
10107,563,1,San Francisco,075,020100,07504
10109,570,1,San Francisco,075,020200,07504
10110,20,1,San Francisco,075,020800,07503
10111,21,1,San Francisco,075,020800,07503
10112,18,1,San Francisco,075,020800,07503
10114,52,1,San Francisco,075,021200,07504
10116,52,1,San Francisco,075,021200,07504
10117,535,1,San Francisco,075,033204,07506
10119,454,1,San Francisco,075,031201,07506
10122,42,1,San Francisco,075,023001,07507
10123,619,1,San Francisco,075,980900,07507
10124,98,1,San Francisco,075,023001,07507
10125,98,1,San Francisco,075,023001,07507
10127,38,1,San Francisco,075,061500,07503
10128,419,1,San Francisco,075,061500,07503
10130,188,1,San Francisco,075,025800,07507
10133,143,1,San Francisco,075,032700,07505
10137,361,1,San Francisco,075,012402,07503
10138,564,1,San Francisco,075,017601,07503
10140,1,1,San Francisco,075,020200,07504
10141,522,1,San Francisco,075,016400,07501
10142,522,1,San Francisco,075,016400,07501
10143,379,1,San Francisco,075,015802,07501
10144,568,1,San Francisco,075,017601,07503
10147,584,1,San Francisco,075,060100,07501
10150,430,1,San Francisco,075,012800,07502
10151,365,1,San Francisco,075,012602,07502
10153,371,1,San Francisco,075,012902,07502
10157,388,1,San Francisco,075,010900,07502
10159,581,1,San Francisco,075,061500,07503
10160,426,1,San Francisco,075,012700,07502
10161,426,1,San Francisco,075,012700,07502
10162,427,1,San Francisco,075,012700,07502
10163,431,1,San Francisco,075,012800,07502
10164,364,1,San Francisco,075,012601,07502
10165,366,1,San Francisco,075,012602,07502
10167,430,1,San Francisco,075,012800,07502
10168,6,1,San Francisco,075,020300,07504
10169,11,1,San Francisco,075,020600,07504
10170,6,1,San Francisco,075,020300,07504
10172,1,1,San Francisco,075,020200,07504
10173,3,1,San Francisco,075,020200,07504
10179,420,1,San Francisco,075,020401,07505
10180,420,1,San Francisco,075,020401,07505
10181,446,1,San Francisco,075,020402,07505
10184,52,1,San Francisco,075,021200,07504
10185,592,1,San Francisco,075,017902,07502
10186,592,1,San Francisco,075,017902,07502
10187,454,1,San Francisco,075,031201,07506
10190,197,1,San Francisco,075,026002,07507
10192,314,1,San Francisco,075,026003,07507
10193,152,1,San Francisco,075,025403,07504
10194,186,1,San Francisco,075,025600,07507
10195,156,1,San Francisco,075,026002,07507
10197,315,1,San Francisco,075,026003,07507
10198,317,1,San Francisco,075,026302,07507
10200,476,1,San Francisco,075,015400,07501
10201,302,1,San Francisco,075,030500,07505
10202,646,1,San Francisco,075,021600,07504
10203,128,1,San Francisco,075,031000,07506
10204,128,1,San Francisco,075,031000,07506
10206,208,1,San Francisco,075,035300,07505
10207,210,1,San Francisco,075,035300,07505
10208,209,1,San Francisco,075,035300,07505
10209,209,1,San Francisco,075,035300,07505
10210,545,1,San Francisco,075,047802,07501
10211,544,1,San Francisco,075,047801,07501
10212,543,1,San Francisco,075,047801,07501
10213,333,1,San Francisco,075,047702,07501
10214,333,1,San Francisco,075,047702,07501
10215,264,1,San Francisco,075,047702,07501
10218,351,1,San Francisco,075,010400,07502
10219,4,1,San Francisco,075,017902,07502
10222,597,1,San Francisco,075,061500,07503
10223,504,1,San Francisco,075,032901,07505
10224,162,1,San Francisco,075,033000,07506
10225,166,1,San Francisco,075,033000,07506
10226,494,1,San Francisco,075,032602,07505
10227,499,1,San Francisco,075,032802,07505
10228,498,1,San Francisco,075,032802,07505
10229,495,1,San Francisco,075,032801,07505
10230,495,1,San Francisco,075,032801,07505
10231,495,1,San Francisco,075,032801,07505
10232,281,1,San Francisco,075,030302,07505
10233,282,1,San Francisco,075,030301,07505
10234,495,1,San Francisco,075,032801,07505
10235,281,1,San Francisco,075,030302,07505
10236,296,1,San Francisco,075,030400,07505
10241,192,1,San Francisco,075,025900,07507
10242,626,1,San Francisco,075,023300,07507
10247,267,1,San Francisco,075,047902,07501
10248,269,1,San Francisco,075,047902,07501
10249,268,1,San Francisco,075,047901,07501
10250,76,1,San Francisco,075,047901,07501
10251,261,1,San Francisco,075,047902,07501
10252,265,1,San Francisco,075,047901,07501
10253,546,1,San Francisco,075,047802,07501
10254,172,1,San Francisco,075,035202,07505
10255,173,1,San Francisco,075,035202,07505
10256,172,1,San Francisco,075,035202,07505
10257,172,1,San Francisco,075,035202,07505
10258,176,1,San Francisco,075,035100,07505
10259,588,1,San Francisco,075,011700,07503
10260,581,1,San Francisco,075,061500,07503
10261,581,1,San Francisco,075,061500,07503
10262,581,1,San Francisco,075,061500,07503
10263,590,1,San Francisco,075,061500,07503
10265,27,1,San Francisco,075,061500,07503
10266,222,1,San Francisco,075,040200,07501
10268,37,1,San Francisco,075,017601,07503
10269,37,1,San Francisco,075,017601,07503
10270,566,1,San Francisco,075,017601,07503
10271,417,1,San Francisco,075,017802,07503
10272,599,1,San Francisco,075,017802,07503
10273,599,1,San Francisco,075,017802,07503
10274,598,1,San Francisco,075,017700,07503
10275,598,1,San Francisco,075,017700,07503
10276,598,1,San Francisco,075,017700,07503
10277,598,1,San Francisco,075,017700,07503
