TAZ_NODE,TAZ_SEQ,COUNTY,county_name,COUNTYFP10,TRACTCE10,PUMA10,PUMA20,DistID,DistName,TAZ_X,TAZ_Y
1,1,1,San Francisco,075,020200,07504,07511,3,Mission District,-122.42404240945375,37.770278642802786
2,2,1,San Francisco,075,020100,07504,07511,3,Mission District,-122.41995297880281,37.7645204370663
3,3,1,San Francisco,075,020200,07504,07511,3,Mission District,-122.42437049524413,37.76777024809446
4,4,1,San Francisco,075,017902,07502,07509,1,Downtown SF,-122.37336431197643,37.82385349373633
5,5,1,San Francisco,075,020300,07504,07511,3,Mission District,-122.42759235531771,37.76654585533049
6,6,1,San Francisco,075,020300,07504,07511,3,Mission District,-122.42921656027688,37.7636614195767
7,7,1,San Francisco,075,020300,07504,07511,3,Mission District,-122.43129202143678,37.764706054823726
8,8,1,San Francisco,075,020500,07504,07511,3,Mission District,-122.43722072682571,37.7615732898835
9,9,1,San Francisco,075,020500,07504,07511,3,Mission District,-122.43668207025144,37.75944482409065
10,10,1,San Francisco,075,020500,07504,07511,3,Mission District,-122.43724598942806,37.757212933341876
11,11,1,San Francisco,075,020600,07504,07511,3,Mission District,-122.43287425326746,37.75806726857604
12,12,1,San Francisco,075,020600,07504,07511,3,Mission District,-122.42898259528071,37.757226622080225
13,13,1,San Francisco,075,020600,07504,07511,3,Mission District,-122.42820419955848,37.76049459473353
14,14,1,San Francisco,075,020600,07504,07511,3,Mission District,-122.4327918897711,37.76102363471895
15,15,1,San Francisco,075,020700,07504,07511,3,Mission District,-122.42324820022309,37.75597009134511
16,16,1,San Francisco,075,020700,07504,07511,3,Mission District,-122.42347698352185,37.758369108744205
17,17,1,San Francisco,075,020700,07504,07511,3,Mission District,-122.42378454590269,37.76156965904118
18,18,1,San Francisco,075,020800,07503,07511,3,Mission District,-122.41861844801065,37.756895868192935
19,19,1,San Francisco,075,020800,07503,07511,3,Mission District,-122.41947532136615,37.75902074488612
20,20,1,San Francisco,075,020800,07503,07511,3,Mission District,-122.41945527264218,37.76263442962068
21,21,1,San Francisco,075,020800,07503,07511,3,Mission District,-122.41930269046202,37.761035444034114
22,22,1,San Francisco,075,020900,07503,07511,3,Mission District,-122.41928292123033,37.74938228641125
23,23,1,San Francisco,075,020900,07503,07511,3,Mission District,-122.4170806062457,37.749467565726256
24,24,1,San Francisco,075,020900,07503,07511,3,Mission District,-122.41962898653779,37.75296979874519
25,25,1,San Francisco,075,020900,07503,07511,3,Mission District,-122.41743009373174,37.75310516074767
26,26,1,San Francisco,075,021000,07504,07511,3,Mission District,-122.42209305451496,37.749009991078054
27,27,1,San Francisco,075,061500,07503,07510,1,Downtown SF,-122.39632224235028,37.786054459495055
28,28,1,San Francisco,075,010700,07502,07509,1,Downtown SF,-122.40883212240684,37.79806760602013
29,29,1,San Francisco,075,011901,07502,07509,1,Downtown SF,-122.41400914394681,37.790941070966184
30,30,1,San Francisco,075,011902,07502,07509,1,Downtown SF,-122.40990303255951,37.79146219524493
31,31,1,San Francisco,075,012301,07503,07509,1,Downtown SF,-122.41015432996154,37.7860621171392
32,32,1,San Francisco,075,012301,07503,07509,1,Downtown SF,-122.41369999083547,37.78522056633351
33,33,1,San Francisco,075,012302,07503,07509,1,Downtown SF,-122.41398432245487,37.786623094844366
34,34,1,San Francisco,075,012302,07503,07509,1,Downtown SF,-122.41115345873911,37.78722381340738
35,35,1,San Francisco,075,012502,07503,07509,1,Downtown SF,-122.4126877284855,37.78439871653691
36,36,1,San Francisco,075,012502,07503,07509,1,Downtown SF,-122.41250517584052,37.783469357220476
37,37,1,San Francisco,075,017601,07503,07510,1,Downtown SF,-122.40801804388325,37.78181930561936
38,38,1,San Francisco,075,061500,07503,07510,1,Downtown SF,-122.39133592895354,37.7860603676036
39,39,1,San Francisco,075,061500,07503,07510,1,Downtown SF,-122.39395722503679,37.781582389866365
40,40,1,San Francisco,075,021700,07506,07511,3,Mission District,-122.43330671441505,37.739362481488456
41,41,1,San Francisco,075,022803,07503,07510,3,Mission District,-122.40982492534555,37.7551706440682
42,42,1,San Francisco,075,023001,07507,07507,3,Mission District,-122.4020235179242,37.73148132803282
43,43,1,San Francisco,075,061200,07507,07507,3,Mission District,-122.38838785438581,37.7376309990946
44,44,1,San Francisco,075,023103,07507,07507,3,Mission District,-122.37759095672668,37.73028559912044
45,45,1,San Francisco,075,021000,07504,07511,3,Mission District,-122.42311812143373,37.750613982373764
46,46,1,San Francisco,075,021000,07504,07511,3,Mission District,-122.42295204861703,37.75277261273297
47,47,1,San Francisco,075,021000,07504,07511,3,Mission District,-122.42310394091253,37.7543698641979
48,48,1,San Francisco,075,021100,07504,07511,3,Mission District,-122.43221707740717,37.755025831619605
49,49,1,San Francisco,075,021100,07504,07511,3,Mission District,-122.43198770356231,37.75263140228056
50,50,1,San Francisco,075,021100,07504,07511,3,Mission District,-122.42767469059417,37.75489909409811
51,51,1,San Francisco,075,021100,07504,07511,3,Mission District,-122.42745102893339,37.75250347978
52,52,1,San Francisco,075,021200,07504,07511,3,Mission District,-122.43957842841525,37.753799756654345
53,53,1,San Francisco,075,021200,07504,07511,3,Mission District,-122.43602063880306,37.75440085420281
54,54,1,San Francisco,075,021200,07504,07511,3,Mission District,-122.43860495991821,37.75181705737205
55,55,1,San Francisco,075,021300,07504,07511,3,Mission District,-122.4356484766644,37.749530712522024
56,56,1,San Francisco,075,021300,07504,07511,3,Mission District,-122.44025670971347,37.74909791533142
57,57,1,San Francisco,075,021400,07504,07511,3,Mission District,-122.42729763023341,37.75090542743607
58,58,1,San Francisco,075,021400,07504,07511,3,Mission District,-122.42820935165417,37.74864311041865
59,59,1,San Francisco,075,021400,07504,07511,3,Mission District,-122.43171634561867,37.74983446741969
60,60,1,San Francisco,075,021500,07504,07511,3,Mission District,-122.4244967178996,37.74509698076877
61,61,1,San Francisco,075,021500,07504,07511,3,Mission District,-122.42632962402504,37.74278015025047
62,62,1,San Francisco,075,021500,07504,07511,3,Mission District,-122.42418729127068,37.74708884453315
63,63,1,San Francisco,075,021500,07504,07511,3,Mission District,-122.42915146228545,37.74636618005624
64,64,1,San Francisco,075,021500,07504,07511,3,Mission District,-122.42892475508624,37.74396587213476
65,65,1,San Francisco,075,021600,07504,07511,3,Mission District,-122.43399901157704,37.74506133940399
66,66,1,San Francisco,075,021600,07504,07511,3,Mission District,-122.43912348837736,37.746135031819364
67,67,1,San Francisco,075,021700,07506,07511,3,Mission District,-122.44234606778528,37.74164348947986
68,68,1,San Francisco,075,021700,07506,07511,3,Mission District,-122.43744097535648,37.73630654853434
69,69,1,San Francisco,075,021800,07506,07511,3,Mission District,-122.43279948771828,37.73492591813679
70,70,1,San Francisco,075,021800,07506,07511,3,Mission District,-122.42904903234354,37.736457181749806
71,71,1,San Francisco,075,025702,07507,07507,3,Mission District,-122.40544928217862,37.7302550244102
72,72,1,San Francisco,075,026303,07507,07507,3,Mission District,-122.43978234806475,37.70964469536862
73,73,1,San Francisco,075,033204,07506,07513,4,Sunset District,-122.48083045173416,37.7183023970683
74,74,1,San Francisco,075,042800,07501,07508,2,Richmond District,-122.48964703540372,37.787195810995705
75,75,1,San Francisco,075,047801,07501,07508,2,Richmond District,-122.49484627391656,37.77614133701871
76,76,1,San Francisco,075,047901,07501,07508,2,Richmond District,-122.51122421708094,37.77735734463308
77,77,1,San Francisco,075,980200,07501,07508,2,Richmond District,-122.50149623935327,37.78447527231502
78,78,1,San Francisco,075,980501,07507,07507,3,Mission District,-122.41870026857443,37.7179386824116
79,79,1,San Francisco,075,980600,07507,07507,3,Mission District,-122.36828394225385,37.72484434890475
81,80,1,San Francisco,075,061500,07503,07510,1,Downtown SF,-122.39102435855675,37.78948902232192
82,81,1,San Francisco,075,021800,07506,07511,3,Mission District,-122.42750291407042,37.7388009944044
83,82,1,San Francisco,075,021800,07506,07511,3,Mission District,-122.42699489815752,37.74102846453763
84,83,1,San Francisco,075,022600,07503,07510,3,Mission District,-122.39011315585887,37.762313088430275
85,84,1,San Francisco,075,022600,07503,07510,3,Mission District,-122.39039620334653,37.75776462341911
86,85,1,San Francisco,075,022801,07503,07510,3,Mission District,-122.4125173904774,37.762258663571224
87,86,1,San Francisco,075,022801,07503,07510,3,Mission District,-122.41020389188634,37.75901538454769
88,87,1,San Francisco,075,022702,07503,07510,3,Mission District,-122.39537635208217,37.761370993318955
89,88,1,San Francisco,075,022801,07503,07510,3,Mission District,-122.41469029959447,37.75889804999728
90,89,1,San Francisco,075,022901,07503,07510,3,Mission District,-122.41447177342147,37.752746723411605
91,90,1,San Francisco,075,022803,07503,07510,3,Mission District,-122.41438332238927,37.75570009350588
92,91,1,San Francisco,075,022803,07503,07510,3,Mission District,-122.4099768882458,37.75676992034436
93,92,1,San Francisco,075,022901,07503,07510,3,Mission District,-122.41278389696622,37.75044849066438
94,93,1,San Francisco,075,022802,07503,07510,3,Mission District,-122.40635011519107,37.7630667752387
95,94,1,San Francisco,075,022901,07503,07510,3,Mission District,-122.41488711480666,37.74955940579523
96,95,1,San Francisco,075,022902,07503,07510,3,Mission District,-122.41051486170068,37.75271752150242
97,96,1,San Francisco,075,022902,07503,07510,3,Mission District,-122.41022261135286,37.74974672676368
98,97,1,San Francisco,075,023001,07507,07507,3,Mission District,-122.40221038578804,37.73694760050451
99,98,1,San Francisco,075,022903,07503,07510,3,Mission District,-122.40469458280963,37.75208594164966
100,99,1,San Francisco,075,023001,07507,07507,3,Mission District,-122.39956633010624,37.734692185653216
101,100,1,San Francisco,075,030800,07506,07513,4,Sunset District,-122.47149133214475,37.738241952680916
102,101,1,San Francisco,075,030800,07506,07513,4,Sunset District,-122.4626045482536,37.741441559573374
103,102,1,San Francisco,075,030800,07506,07513,4,Sunset District,-122.46199105794472,37.73833334768471
104,103,1,San Francisco,075,030800,07506,07513,4,Sunset District,-122.46720791948438,37.73669350775787
105,104,1,San Francisco,075,030900,07506,07513,4,Sunset District,-122.46602424034947,37.72402453862256
106,105,1,San Francisco,075,030900,07506,07513,4,Sunset District,-122.47034624987242,37.726398495578465
107,106,1,San Francisco,075,030900,07506,07513,4,Sunset District,-122.46895894915401,37.732515543993586
108,107,1,San Francisco,075,030900,07506,07513,4,Sunset District,-122.46263129698767,37.733546858785715
109,108,1,San Francisco,075,030900,07506,07513,4,Sunset District,-122.46481639038848,37.72930244885511
110,109,1,San Francisco,075,030900,07506,07513,4,Sunset District,-122.47333401612617,37.73113620567698
111,110,1,San Francisco,075,030900,07506,07513,4,Sunset District,-122.47364239504375,37.72256452676154
112,111,1,San Francisco,075,031000,07506,07513,3,Mission District,-122.45745726206351,37.73244781480793
114,112,1,San Francisco,075,025402,07504,07511,3,Mission District,-122.41528173541542,37.736730264134295
115,113,1,San Francisco,075,025402,07504,07511,3,Mission District,-122.41314748192464,37.736964951099154
116,114,1,San Francisco,075,023200,07507,07507,3,Mission District,-122.3887910849894,37.73139935944501
117,115,1,San Francisco,075,023200,07507,07507,3,Mission District,-122.39041452749625,37.72863567064807
118,116,1,San Francisco,075,025200,07504,07511,3,Mission District,-122.41300192818282,37.740780852805194
119,117,1,San Francisco,075,025200,07504,07511,3,Mission District,-122.41665138726378,37.7414611528995
120,118,1,San Francisco,075,023300,07507,07507,3,Mission District,-122.39822810517927,37.72113796512592
121,119,1,San Francisco,075,023400,07507,07507,3,Mission District,-122.39343665462506,37.721940605000434
122,120,1,San Francisco,075,023400,07507,07507,3,Mission District,-122.38999659434695,37.71933757778012
123,121,1,San Francisco,075,025100,07504,07511,3,Mission District,-122.40712378704397,37.74240951068003
124,122,1,San Francisco,075,025100,07504,07511,3,Mission District,-122.40785308853377,37.746786610810695
125,123,1,San Francisco,075,025100,07504,07511,3,Mission District,-122.4088450257493,37.743584347804585
126,124,1,San Francisco,075,025200,07504,07511,3,Mission District,-122.41482366319065,37.74743663250294
